id,target,horizon,model,window,universe,features,eval_on,coverage,n,days,blocks,acc,null,skill,ci_lo,ci_hi,deff,agreement,day_acc,by_day,k,sel,calls_up,trials,se,bar,passes
I_extremes10_21_logit_v2_no_market,extremes10,21,logit,expanding,liquid,v2_no_market,relative,1.0,830525,1008,48,0.5288702928870292,0.5442822311188706,-0.015411938231841393,0.5123580395148524,0.5442077198033655,215.75644226343317,0.8515043593376406,0.7113095238095238,"            day    n       acc   frac_up      y_up
0    2021-02-01  699  0.402003  0.237482  0.500715
1    2021-02-02  699  0.389127  0.230329  0.520744
2    2021-02-03  699  0.354793  0.208870  0.562232
3    2021-02-04  700  0.352857  0.217143  0.552857
4    2021-02-05  701  0.345221  0.216833  0.563481
...         ...  ...       ...       ...       ...
1003 2025-01-29  898  0.521158  0.928731  0.496659
1004 2025-01-30  897  0.527313  0.929766  0.510591
1005 2025-01-31  898  0.504454  0.925390  0.496659
1006 2025-02-03  898  0.516704  0.928731  0.507795
1007 2025-02-04  899  0.509455  0.929922  0.503893

[1008 rows x 5 columns]",,,,1,0.008124918440947218,0.009566360404492059,False
I_extremes10_21_logit_v2_no_market,extremes10,21,logit,expanding,liquid,v2_no_market,relative,0.5,414995,1008,48,0.5452812684490175,0.5639248665646575,-0.01864359811563998,0.520556799151478,0.5694746680422754,262.889208263566,0.9083166729639877,0.6825396825396826,"            day    n       acc   frac_up      y_up
0    2021-02-01  349  0.352436  0.174785  0.535817
1    2021-02-02  349  0.320917  0.160458  0.587393
2    2021-02-03  349  0.309456  0.131805  0.616046
3    2021-02-04  350  0.314286  0.145714  0.608571
4    2021-02-05  350  0.291429  0.154286  0.617143
...         ...  ...       ...       ...       ...
1003 2025-01-29  449  0.625835  0.966592  0.605791
1004 2025-01-30  448  0.665179  0.970982  0.658482
1005 2025-01-31  449  0.608018  0.964365  0.603563
1006 2025-02-03  449  0.612472  0.966592  0.605791
1007 2025-02-04  449  0.632517  0.966592  0.630290

[1008 rows x 5 columns]",,,,2,0.01247904818642791,0.014692956406153779,False
I_extremes10_21_logit_v2_no_market,extremes10,21,logit,expanding,liquid,v2_no_market,relative,0.25,207241,1008,48,0.5578288080061378,0.5664564444294324,-0.008627636423294671,0.5311234886529551,0.5852980228989642,167.82129850587955,0.9050724549762003,0.685515873015873,"            day    n       acc   frac_up      y_up
0    2021-02-01  174  0.298851  0.201149  0.591954
1    2021-02-02  174  0.281609  0.206897  0.614943
2    2021-02-03  174  0.275862  0.189655  0.637931
3    2021-02-04  175  0.268571  0.200000  0.634286
4    2021-02-05  175  0.274286  0.211429  0.617143
...         ...  ...       ...       ...       ...
1003 2025-01-29  224  0.656250  0.959821  0.642857
1004 2025-01-30  224  0.732143  0.955357  0.714286
1005 2025-01-31  224  0.669643  0.955357  0.660714
1006 2025-02-03  224  0.625000  0.950893  0.611607
1007 2025-02-04  224  0.669643  0.955357  0.660714

[1008 rows x 5 columns]",,,,3,0.01382003424643088,0.020485489381433887,False
I_extremes10_21_logit_v2_no_market,extremes10,21,logit,expanding,liquid,v2_no_market,relative,0.1,82572,1008,48,0.5725548612120331,0.5607106525214358,0.011844208690597324,0.5420693868648668,0.6043837193324534,84.73511271411023,0.877711852499646,0.6954365079365079,"            day   n       acc   frac_up      y_up
0    2021-02-01  69  0.275362  0.231884  0.666667
1    2021-02-02  69  0.260870  0.260870  0.681159
2    2021-02-03  69  0.275362  0.231884  0.637681
3    2021-02-04  70  0.285714  0.242857  0.614286
4    2021-02-05  70  0.300000  0.257143  0.642857
...         ...  ..       ...       ...       ...
1003 2025-01-29  89  0.662921  0.910112  0.640449
1004 2025-01-30  89  0.696629  0.898876  0.662921
1005 2025-01-31  89  0.651685  0.887640  0.629213
1006 2025-02-03  89  0.640449  0.898876  0.629213
1007 2025-02-04  89  0.685393  0.910112  0.685393

[1008 rows x 5 columns]",,,,4,0.015896513384588407,0.026469431039338277,False
I_extremes10_21_logit_v2_no_market,extremes10,21,logit,expanding,liquid,v2_no_market,relative,0.05,40985,1008,48,0.5782115408076125,0.5512504574844456,0.026961083323166934,0.5457905017790826,0.6117099157769103,47.151993238053414,0.8378787390329359,0.6785714285714286,"            day   n       acc   frac_up      y_up
0    2021-02-01  34  0.323529  0.382353  0.588235
1    2021-02-02  34  0.352941  0.382353  0.558824
2    2021-02-03  34  0.382353  0.352941  0.500000
3    2021-02-04  35  0.342857  0.371429  0.514286
4    2021-02-05  35  0.342857  0.400000  0.542857
...         ...  ..       ...       ...       ...
1003 2025-01-29  44  0.590909  0.840909  0.568182
1004 2025-01-30  44  0.681818  0.818182  0.636364
1005 2025-01-31  44  0.636364  0.772727  0.590909
1006 2025-02-03  44  0.636364  0.840909  0.613636
1007 2025-02-04  44  0.636364  0.840909  0.613636

[1008 rows x 5 columns]",,,,5,0.016816177040262153,0.030170282903480353,False
I_extremes10_21_logit_v2_no_market,extremes10,21,logit,expanding,liquid,v2_no_market,relative,0.02,16227,1008,48,0.5811302150736427,0.5310285326924262,0.050101682381216484,0.5464443556180528,0.6181447213785065,21.98164509103693,0.7524939721258874,0.6011904761904762,"            day   n       acc   frac_up      y_up
0    2021-02-01  13  0.461538  0.692308  0.461538
1    2021-02-02  13  0.692308  0.615385  0.307692
2    2021-02-03  13  0.538462  0.692308  0.230769
3    2021-02-04  14  0.428571  0.642857  0.357143
4    2021-02-05  14  0.642857  0.642857  0.285714
...         ...  ..       ...       ...       ...
1003 2025-01-29  17  0.588235  0.764706  0.470588
1004 2025-01-30  17  0.588235  0.705882  0.529412
1005 2025-01-31  17  0.588235  0.705882  0.529412
1006 2025-02-03  17  0.647059  0.588235  0.588235
1007 2025-02-04  17  0.588235  0.705882  0.529412

[1008 rows x 5 columns]",,,,6,0.018290909632768797,0.03462502981960124,True
I_extremes10_21_logit_v2_no_market,extremes10,21,logit,expanding,liquid,v2_no_market,relative,0.01,7972,1008,48,0.5692423482187656,0.49811841445057703,0.0711239337681886,0.5326787455992296,0.6079851186092097,11.822184276711672,0.694588136180398,0.5783730158730159,"            day  n       acc   frac_up      y_up
0    2021-02-01  6  0.500000  0.666667  0.500000
1    2021-02-02  6  0.833333  0.666667  0.500000
2    2021-02-03  6  0.666667  0.500000  0.166667
3    2021-02-04  7  0.714286  0.714286  0.428571
4    2021-02-05  7  0.571429  0.857143  0.428571
...         ... ..       ...       ...       ...
1003 2025-01-29  8  0.500000  0.500000  0.250000
1004 2025-01-30  8  0.625000  0.625000  0.500000
1005 2025-01-31  8  0.625000  0.500000  0.375000
1006 2025-02-03  8  0.625000  0.500000  0.625000
1007 2025-02-04  8  0.625000  0.375000  0.500000

[1008 rows x 5 columns]",,,,7,0.019210809441321457,0.037898502821513226,True
I_extremes10_21_logit_v2_no_market,extremes10,21,logit,expanding,liquid,v2_no_market,relative,,10080,1008,48,0.5740079365079365,0.5201388888888889,0.05386904761904754,0.5382886904761904,0.6123115079365079,14.194823346989693,0.5,0.6498015873015873,,5.0,balanced,0.5,8,0.018883371801101397,0.03850950177733524,True
I_extremes10_21_logit_v2_no_market,extremes10,21,logit,expanding,liquid,v2_no_market,relative,,20160,1008,48,0.5807539682539683,0.5129960317460317,0.0677579365079366,0.549000496031746,0.6129117063492063,21.89129214796845,0.5,0.6101190476190477,,10.0,balanced,0.5,9,0.01630388018302558,0.034177728616332934,True
I_extremes10_21_logit_v2_no_market,extremes10,21,logit,expanding,liquid,v2_no_market,relative,,40320,1008,48,0.5767609126984127,0.5050347222222222,0.07172619047619044,0.547866443452381,0.604836929563492,34.106981797032475,0.5,0.5873015873015873,,20.0,balanced,0.5,10,0.014533287273242601,0.031187940738681967,True
I_extremes10_21_logit_v2_no_market,extremes10,21,logit,expanding,liquid,v2_no_market,relative,,80640,1008,48,0.5632068452380953,0.5058159722222222,0.05739087301587309,0.5376460193452381,0.5876261780753967,54.18431250396661,0.5,0.4861111111111111,,40.0,balanced,0.5,11,0.012750040492387397,0.027921687851885927,True
I_extremes10_21_logit_v2_no_market,extremes10,21,logit,expanding,liquid,v2_no_market,relative,,161280,1008,48,0.5516679067460317,0.5180741567460317,0.03359374999999998,0.5278462921626984,0.5751441592261904,98.62682179663503,0.5,0.39285714285714285,,80.0,balanced,0.5,12,0.012065782414156132,0.02689834293675623,True
I_extremes10_42_logit_v2_all,extremes10,42,logit,expanding,liquid,v2_all,relative,1.0,717587,882,21,0.5285839905126486,0.5551006358810848,-0.02651664536843623,0.5061109440787942,0.549865624636,397.3128535909983,0.8669673054730703,0.7698412698412699,"           day    n       acc   frac_up      y_up
0   2021-03-03  713  0.326788  0.136045  0.660589
1   2021-03-04  713  0.332398  0.150070  0.652174
2   2021-03-05  713  0.356241  0.173913  0.652174
3   2021-03-08  712  0.300562  0.165730  0.679775
4   2021-03-09  711  0.331927  0.191280  0.682138
..         ...  ...       ...       ...       ...
877 2024-08-27  892  0.554933  0.912556  0.543722
878 2024-08-28  891  0.539843  0.924804  0.534231
879 2024-08-29  893  0.536394  0.924972  0.533035
880 2024-08-30  895  0.534078  0.921788  0.527374
881 2024-09-03  894  0.529083  0.904922  0.525727

[882 rows x 5 columns]",,,,13,0.011161908305409637,0.025280918333382047,False
I_extremes10_42_logit_v2_all,extremes10,42,logit,expanding,liquid,v2_all,relative,0.5,358570,882,21,0.5489583623839139,0.578422623197702,-0.029464260813788057,0.5129217047308989,0.584425984008135,504.5916061335666,0.9179710492114791,0.7403628117913832,"           day    n       acc   frac_up      y_up
0   2021-03-03  356  0.247191  0.050562  0.741573
1   2021-03-04  356  0.280899  0.067416  0.724719
2   2021-03-05  356  0.300562  0.078652  0.688202
3   2021-03-08  356  0.264045  0.070225  0.733146
4   2021-03-09  355  0.287324  0.101408  0.712676
..         ...  ...       ...       ...       ...
877 2024-08-27  446  0.605381  0.964126  0.591928
878 2024-08-28  445  0.577528  0.973034  0.568539
879 2024-08-29  446  0.556054  0.968610  0.542601
880 2024-08-30  447  0.554810  0.964206  0.545861
881 2024-09-03  447  0.568233  0.957494  0.552573

[882 rows x 5 columns]",,,,14,0.018240887570723473,0.04190688465713618,False
I_extremes10_42_logit_v2_all,extremes10,42,logit,expanding,liquid,v2_all,relative,0.25,179070,882,21,0.5660467973418216,0.5843524878539119,-0.0183056905120903,0.5237355140036856,0.606280457958224,332.9602323774922,0.9183563620941668,0.7392290249433107,"           day    n       acc   frac_up      y_up
0   2021-03-03  178  0.247191  0.061798  0.724719
1   2021-03-04  178  0.320225  0.073034  0.685393
2   2021-03-05  178  0.292135  0.067416  0.696629
3   2021-03-08  178  0.297753  0.050562  0.707865
4   2021-03-09  177  0.305085  0.079096  0.683616
..         ...  ...       ...       ...       ...
877 2024-08-27  223  0.632287  0.955157  0.623318
878 2024-08-28  222  0.585586  0.959459  0.563063
879 2024-08-29  223  0.547085  0.959641  0.533632
880 2024-08-30  223  0.556054  0.955157  0.538117
881 2024-09-03  223  0.569507  0.946188  0.551570

[882 rows x 5 columns]",,,,15,0.021057383661872063,0.04900583159461868,False
I_extremes10_42_logit_v2_all,extremes10,42,logit,expanding,liquid,v2_all,relative,0.1,71345,882,21,0.5803630247389445,0.5830541733828579,-0.002691148643913399,0.5330798774965388,0.6240385436545568,157.79522924521078,0.9017396655423521,0.7290249433106576,"           day   n       acc   frac_up      y_up
0   2021-03-03  71  0.295775  0.098592  0.661972
1   2021-03-04  71  0.380282  0.098592  0.605634
2   2021-03-05  71  0.380282  0.084507  0.591549
3   2021-03-08  71  0.394366  0.056338  0.605634
4   2021-03-09  71  0.394366  0.098592  0.619718
..         ...  ..       ...       ...       ...
877 2024-08-27  89  0.595506  0.932584  0.617978
878 2024-08-28  89  0.617978  0.943820  0.606742
879 2024-08-29  89  0.595506  0.921348  0.561798
880 2024-08-30  89  0.561798  0.921348  0.550562
881 2024-09-03  89  0.595506  0.910112  0.573034

[882 rows x 5 columns]",,,,16,0.023203741366841314,0.05464063529035176,False
I_extremes10_42_logit_v2_all,extremes10,42,logit,expanding,liquid,v2_all,relative,0.05,35424,882,21,0.5883864046973803,0.5748927280939476,0.013493676603432703,0.541569309125973,0.6329292617966348,82.34852715207903,0.8773610600961649,0.7018140589569161,"           day   n       acc   frac_up      y_up
0   2021-03-03  35  0.514286  0.200000  0.400000
1   2021-03-04  35  0.485714  0.171429  0.457143
2   2021-03-05  35  0.542857  0.114286  0.457143
3   2021-03-08  35  0.542857  0.114286  0.457143
4   2021-03-09  35  0.485714  0.114286  0.514286
..         ...  ..       ...       ...       ...
877 2024-08-27  44  0.613636  0.886364  0.636364
878 2024-08-28  44  0.590909  0.931818  0.568182
879 2024-08-29  44  0.522727  0.886364  0.500000
880 2024-08-30  44  0.568182  0.909091  0.568182
881 2024-09-03  44  0.659091  0.840909  0.636364

[882 rows x 5 columns]",,,,17,0.02330611037516882,0.05547846496024858,False
I_extremes10_42_logit_v2_all,extremes10,42,logit,expanding,liquid,v2_all,relative,0.02,14004,882,21,0.5864752927734933,0.5448443301913739,0.0416309625821194,0.5407961704291117,0.6297705536555919,28.452126991763073,0.8336471493359249,0.63718820861678,"           day   n       acc   frac_up      y_up
0   2021-03-03  14  0.571429  0.214286  0.214286
1   2021-03-04  14  0.714286  0.214286  0.357143
2   2021-03-05  14  0.785714  0.214286  0.285714
3   2021-03-08  14  0.714286  0.214286  0.357143
4   2021-03-09  14  0.785714  0.214286  0.285714
..         ...  ..       ...       ...       ...
877 2024-08-27  17  0.588235  0.764706  0.588235
878 2024-08-28  17  0.470588  0.882353  0.470588
879 2024-08-29  17  0.529412  0.764706  0.529412
880 2024-08-30  17  0.529412  0.764706  0.529412
881 2024-09-03  17  0.470588  0.705882  0.411765

[882 rows x 5 columns]",,,,18,0.022697546741449033,0.05457211296761169,False
